"NO.","Material No.","Item and Spec","Qty","Remark"
"1","00771600301630000","Slider","4",""
"2","00771400301401020","Adjusting shim Tp1","4",""
"3","1040002434","Bolt M10×25-8.8","12","GB/T5783"
"4","1040302489","Gasket 10-200HV","34","GB/T97.1"
"5","1040002433","Bolt M10×20-8.8","14","GB/T5783"
"6","00773400310001240","Travel switch contact plate","2",""
"7","00773700302800000","Slider","12",""
"8","00773400300001150","Adjusting shim VITp0.5","12",""
"9","00773400300001130","Adjusting shim IVTp2","12",""
"10","1040002435","Bolt M10×35-8.8","4","GB/T5783"
"11","00773400310400000","Telescopic boom","1",""
"12","1040302506","Check ring 32","4","JB/ZQ4342"
"13","00773400310001020","Pin","2",""
"14","00773400311600000","Telescopic cylinder","1",""
"15","1040103038","Screw M5×10","4","GB/T70.1"
"16","00773400300001280","Platform select valve cover","1",""
"17","1040004517","Bolt M8×16-8.8","4","GB/T5783"
"18","1040301515","Gasket 8-200HV","4","GB/T97.1"
"19","00773400310001200","Small cover plate","1",""
"20","00773400310200000","Base boom","1",""
"21","00773400310001050","Pin V","1",""
"22","00773400200001070","Stop pin","4",""
"23","1040004511","Bolt M12×30-8.8","4","GB/T5783"
"24","00773400311200000","Dust-proof brush","1",""
"25","00773400311000000","Side brush","2",""
"26","00771400301401010","Adjusting shimTp2","2",""
"27","00773400312000000","Dust-proof brush","1",""
"28","1040004565","Bolt M10×30-8.8","6","GB/T5783"
