"No.","Material No.","Item and Spec","Unit","Note"
"1","1140114187","Test joint","1",""
"2","1010308361","Main valve","1",""
"3","1140114040","Male stud connector","5",""
"4","1140114625","Male stud connector","3",""
"5","1140101629","Plug screw","2",""
"6","1140101463","Male stud connector","1",""
"7","1010302829","Non return valve","1",""
"8","1040004518","BoltM8×20-8.8","4","GB/T5783"
"9","1040301515","Washer 8","4","GB/T97.1"
"8","1019900975","Plug","1",""
