"No.","Material No.","Item and Spec","Unit","Note"
"1","1140101485","T-junction","1",""
"2","1140114034","Hydraulic pipe joint","1",""
"3","1010002078","Gear pump","1",""
"4","1140114035","Hydraulic pipe joint","1",""
"5","1140101477","Tube to swivel","1",""
"6","1140111252","Reducer union","1",""
"7","1140113796","Build-up joint","1",""
"8","1040301502","Washer","2","GB/T93"
"9","1040002434","Bolt","2","GB/T5783"
"10","1140101827","Build-up joint","1",""
"11","1010300748","Non return valve","1",""
"12","1140101483","T-junction","1",""
"13","1140111483","Reducer union","1",""
"14","1140115016","45°Build-up joint","1",""
