"NO.","Material No.","Item and Spec","Qty","Remark"
"1","1040004570","Bolt M16×30-8.8","4","GB/T5783"
"2","00773400410001230","Stop pin","2",""
"3","00773400820001070","Axle I","2",""
"4","00773400820200000","Turntable structure","1",""
"5","1040302480","Gasket 8-200HV","8","GB/T96.1"
"6","1040004520","Bolt M8×30-8.8","8","GB/T5783"
"7","00773400820001120","Bending plate","2",""
"8","1040200503","Nut M8-8","4","GB/T889.1"
"9","00773400820001130","Gasket","4",""
"10","00773400820001080","Axle II","2",""
"11","00773400410001230","Stop pin","2",""
"12","1040302512","Gasket 10-200HV","12","GB/T96.1"
"13","1040004646","Bolt M10×15-8.8","8","GB/T5783"
"14","1040004499","Bolt M20×45-8.8","3","GB/T5783"
"15","00773400821200000","Door stop mounting II","2",""
"16","00773400820800000","Support","2",""
"17","1040002434","Bolt M10×25-8.8","4","GB/T5783"
"18","00773400821000000","Door stop mounting I","2",""
"19","1040301515","Gasket 8-200HV","8","GB/T97.1"
"20","1040004590","Bolt M8×14-8.8","8","GB/T5783"
"21","1040100714","Screw M12×130-8.8","1","GB/T70.1"
"22","00773400820001010","Lock pin","1",""
"23","00773400820001040","Cushion pad","2",""
"24","00773400820001090","Adjusting pad","4",""
"25","00773400820001100","Front plate","1",""
"26","1040300735","Gasket 6-200HV","10","GB/T96.1"
"27","1040001631","Bolt M6×20-8.8","4","GB/T5783"
"28","1040003252","Hexagon socket head cap screw 
M8×20-12.9","8","GB/T70.1"
"29","00773700810801010","Handle sleeve","1",""
"30","00773700810801020","Rod","1",""
"31","00773700810001050","Shelves","2",""
"32","1040101846","Screw M4×10-8.8","2","GB/T70.1"
