"NO.","Material No.","Item and Spec","Qty","Remark"
"1","00773400300001050","Bearing","12",""
"2","00773400410400000","Linkage II","2",""
"3","00773400410001150","Bearing","4",""
"4","00773400410001140","Bearing","2",""
"5","00773400410200000","Linkage I","1",""
"6","1040200507","Nut M12-8","2","GB/T889.1"
"7","00773400400001130","Bearing","4",""
"8","00773400410001120","PinA9","1",""
"9","1040005888","Bolt M12×120-10.9","2","GB/T5782"
"10","00771400600001070","Self-lubricating Bearing","2",""
"11","00773400411400000","Pull rod","1",""
"12","0077340040001130","Bearing","2",""
"13","1040004570","Bolt M16×30-8.8","6","GB/T5783"
"14","0077340040001250","Stop pin","5",""
"15","00773400410001100","Pin A7","1",""
"16","1040302489","Gasket 10-200HV","48","GB/T97.1"
"17","1040004646","Bolt M10×15-8.8","24","GB/T5783"
"18","00773400410001220","Sealing plate III","1",""
"19","00773400411200000","Upright","1",""
"20","00773400410001080","Pin A5","1",""
"21","00773400410001090","Pin A6","1",""
"22","00773400410001210","Sealing plate II","1",""
"23","00773400410001070","Pin A4","1",""
