"No.","Material No.","Item and Spec","Unit","Note"
"1","1140101476","Tube to swivel","1",""
"2","1140112827","Male stud connector","1",""
"3","1010002361","Emergency pump","1",""
"4","1140103405","Male stud connector","1",""
"5","1140101477","Tube to swivel","1",""
"6","1040302489","Washer","2","GB/T97.1"
"7","1040301502","Washer","2","GB/T93"
"8","1040101492","Screw","2","GB/T70.1"
