"No.","Material No.","Item and Spec","Unit","Note"
"1","1040202296","Nut 5/8-18UNF-10 (Spiralock)","36","ANSIB18.2.2"
"2","1030800654","Tire IN240/55D17.5","4",""
"3","00773402820001110","Bearing","4",""
"4","00773402820800000","Hub 
assembly- 
right 
steering 
knuckle","1",""
"5","00773402820001120","Spacer bush","2",""
"6","00773402820400000","Frame welds","1",""
"7","1040004653","Bolt M12×30-10.9","14","GB/T5783"
"8","00773400200001070","Stop pin","2",""
"9","00773402820001070","Main pin- steering knuckle","2",""
"10","00773402800001110","Gasket- steering knuckle","2",""
"11","00773402800001270","Washer- steering knuckle pin","2",""
"12","1040500394","Open pin 5×40","2","GB/T91"
"13","1040202280","Nut M24-05-DKL","2","GB/T6181"
"14","1040000090","Bolt M10×30-8.8","4","GB/T5783"
"15","00773402820001050","Motor bracket","1",""
"16","1040201860","Nut M10","8","QC/T608-2011"
"17","1040200161","Nut M16-8","4","GB/T889"
"18","00773402822000000","Steering pull rod I","2",""
"19","00773402800001260","Bearing","4",""
"20","00773402820001030","Steering pull rod gasket","4",""
"21","00773402820001080","Steering pin","3",""
"22","1040301515","Washer 8-200HV","6","GB/T97.1-2002"
"23","00773402820001020","Steering valve bracket","1",""
"24","1040004518","Bolt M8×20-8.8","10","GB/T5783"
"25","1040200503","Nut M8-8","2","GB/T889.1"
"26","00773402820001090","Charging port- protective box","1",""
"27","1040004520","Bolt M8×30-8.8","10","GB/T5783"
"28","1040004496","Bolt M16×45-10.9","4","GB/T5783"
"29","1040302817","Washer 16-DKL","20","GB/T1230-1991"
"30","00773402821800000","Steering cylinder","1",""
"31","00773402820001100","Steering pin II","1",""
"32","00773402820600000","Hub assembly- left steering knuckle","1",""
