"No.","Material No.","Item and Spec","Unit","Note"
"1","1040102739","Screw M8×60-8.8","4","GB/T70.1"
"2","1040301510","Washer 8","4","GB/T93"
"3","1010306616","Lifting CBV","1",""
"4","1019900975","Plug","1",""
"5","1140114040","Male stud connector","2",""
"6","1140101476","Tube to swivel","3",""
"7","1140114046","T-junction","2",""
