"Item","Part Number","Description","Qty.","Remark"
"1","92048687","Shim","2",""
"2","92048684","Shim","4",""
"3","92048436","8813-657560 Sleeve Bearing","2",""
"4","92048690","Pin, Pivot","1",""
"5","00000223","8902-16120 Pin, Lock","2",""
"6","00001161","Bolt  GB/T 5783  M16 × 40","2",""
"7","00001035","Spring Washer  GB/T 93  16","2",""
"8","00000997","Flat Washer  GB/T 97.1  16","2",""
"9","92007163","Clamp","2",""
"10","92013750","Plate","1",""
"11","00003607","Bolt  GB/T 5783  M8 × 50","1",""
"12","00000609","Spring Washer  GB/T 93  8","1",""
"13","00000608","Flat Washer  GB/T 97.1  8","1",""
"14","92048668","Pin, Pivot","1",""
"15","92029912","Shim","2",""
"16","92029913","Shim","2",""
"17","00000430","8813-607040 Sleeve Bearing","2",""
