"Item","Part Number","Description","Qty.","Remark"
"1","00000993","Bolt  GB/T 5783  M8 × 25","14",""
"2","00000608","Flat Washer  GB/T 97.1  8","20",""
"3","92049279","Support","1",""
"4","92048989","Support","1",""
"5","00001163","Nut  GB/T 6182  M8","10",""
"6","92100267","Catalyst","1",""
"7","00007119","Exhaust Temperature Sensor (B65)","1",""
"8","00006582","Differential Pressure Sensor","1",""
"9","92048983","Collar","2",""
"10","92048985","Seal","2",""
"11","00002000","Flat Washer  GB/T 96.1  8","10",""
"12","92049045","Collar","1",""
"13","92100594","Connecting Pipe","1",""
"14","00000609","Spring Washer  GB/T 93  8","10",""
"15","92100268","Connecting Pipe","1",""
"16","00007123","Exhaust Temperature Sensor (B66)","1",""
"17","00000875","Bolt  GB/T 5783  M8 × 20","2",""
"18","92100733","Plate","1",""
"19","00001063","Bolt  GB/T 5783  M8 x 16","4",""
