"Item","Part Number","Description","Qty.","Remark"
"1","92102526","Rear Axle Assembly","1",""
"2","00004487","Nut  GB/T 6182  M22","16",""
"3","00002550","Flat Washer  GB/T 97.1  22","32",""
"4","92050965","O-Ring","1",""
"5","92046506","Drive Motor Assembly","1",""
"6","00002452","Bolt  GB/T 5783  M12 × 45","4",""
"7","00000815","Spring Washer  GB/T 93  12","4",""
"8","00000814","Flat Washer  GB/T 97.1  12","4",""
"9","92046490","Propeller Shaft","1",""
"10","92102525","Front Axle Assembly","1",""
"11","00002551","Bolt  GB/T 5782  M22 × 240","16",""
"12","92029121","Seat, Axle Lockout Cylinder Assembly","2",""
"13","92029119","Bracket, Link","2",""
"14","00002552","Bolt  GB/T 5782  M20 × 130","4",""
"15","00001050","Flat Washer  GB/T 97.1  20","4",""
"16","00006402","Nut  GB/T 6184  M10","16",""
"17","00001059","Screw  GB/T 70  M10 × 30","16",""
"18","92003368","Bracket, Link","2",""
