"Item","Part Number","Description","Qty.","Remark"
"1","92100571","Clamp","4",""
"2","92048997","Pipe Fitting","2",""
"3","92048967","Hose","1",""
"4","90023935","Pipe Fitting","1",""
"5","92031823","Hose","1",""
"6","92100159","Clamp","10",""
"7","92048964","Hose","1",""
"8","92048941","Hose","1",""
"9","92000108","Pipe Fitting","2",""
"10","92000200","Hose","1",""
"11","92048962","Hose","1",""
"12","90023864","Pipe Fitting","2",""
"13","90006157","Copper Washer","2",""
"14","90031605","Tap","1",""
"15","92048958","Hose","1",""
"16","90007331","Washer","6",""
"17","90007329","Drilled Screw","3",""
"18","90023862","Pipe Fitting","2",""
"19","92100611","Fitting","2",""
"20","90007330","Pipe Fitting","1",""
