"Item","Part No.","Description","Qty."
"22","","Ladder and oil cooler assembly (refer to 134.1)","1"
"23","00000679","Washer  GB/T 93  10","4"
"24","00001028","Washer  GB/T 96.1  10","4"
"25","00003071","Washer  GB/T 96.1  16","2"
"26","00001249","Nut  GB/T 6182  M12","4"
"27","00000814","Washer  GB/T 97.1  12","8"
"28","00002059","Bolt  GB/T 5783  M12×30","4"
"29","10003914","Side link guard assembly","1"
"--","10003905","Side link guard weldment","1"
"--","10003913","Upper plate","1"
"--","10003912","Lower plate","1"
"--","00001991","Rivet  GB/T 12618.4  4.8×16","34"
"30","","Alternator assembly (option) (refer to 135.1)","1"
"31","00001040","Bolt  GB/T 5782  M10×100","4"
"32","10003894","Front link guard assembly","1"
"--","10003895","Front link guard weldment","1"
"--","10003903","Front plate","1"
"--","00001991","Rivet  GB/T 12618.4  4.8×16","26"
"33","10003927","Front link guard bracket","1"
"34","10003926","Front link guard bracket","1"
