"Item","Part No.","Description","Qty."
"1","10011943","Ground control tray weldment","1"
"2","00000683","Bolt  GB/T 5783  M10×30","7"
"3","00000615","Washer  GB/T 97.1  10","2"
"4","00000623","Nut  GB/T 6182  M10","9"
"5","10003806","Battery keeper bar","1"
"6","00001028","Washer  GB/T 96.1  10","14"
"7","00004485","Battery","1"
"8","00000778","Washer  GB/T 97.1  4","2"
"9","00000779","Washer  GB/T 93  4","2"
"10","00002511","Bolt  GB/T 5783  M4×10","2"
"11","10021300","Cover","1"
"","10021326","Cover","1"
"12","00000605","Washer  GB/T 97.1  5","17"
"13","00000606","Washer  GB/T 93  5","17"
"14","00000607","Screw  GB/T 818  M5×12 - H","2"
"15","00000655","Power switch","1"
"16","00001252","Screw  GB/T 70.1  M5×12","8"
"17","10011952","Protection plate","1"
"18","10011951","Protection plate","1"
"19","00000679","Washer  GB/T 93  10","2"
"20","10003803","Tank strap","1"
"21","","Fuel tank assembly (refer to 129.1)","1"
"22","10003818","Cover","1"
"23","","Ground control box assembly (refer to 130.1)","1"
"24","00001163","Nut  GB/T 6182  M8","8"
"25","00000608","Washer  GB/T 97.1  8","4"
"26","00000875","Bolt  GB/T 5783  M8×20","4"
"27","10003801","Ground control box bracket","1"
"28","10003798","Wire winding seat","1"
