"Item","Part No.","Description","Qty."
"1","10003792","Door","1"
"2","00001163","Nut  GB/T 6182  M8","4"
"3","10004088","Gas shock","2"
"4","00000831","Screw  GB/T 70.3  M6×20","30"
"5","00000620","Washer  GB/T 97.1  6","22"
"6","00001033","Nut  GB/T 6182  M6","15"
"7","10004083","Hinge","3"
"8","10011943","Ground control tray weldment","1"
"9","00000621","Washer  GB/T 93  6","7"
"10","00000619","Bolt  GB/T 5783  M6×25","4"
"11","10003802","Latch","1"
"12","50000524","Handle","1"
"13","00000818","Bolt  GB/T 5783  M6×16","3"
