"Item","Part No.","Description","Qty."
"1","10018809","Outer arm  Ⅱ","1"
"2","00003604","Nut  GB/T 889.2  M20×1.5","1"
"3","10018808","Inner arm  Ⅱ","1"
"4","10018803","Inner armⅠ","1"
"5","10003256","Lock pin assembly","1"
"--","10003257","Housing","1"
"--","10003258","Spring","1"
"--","10003259","Lock pin","1"
"--","10003260","knob","1"
"6","00001040","Bolt  GB/T 5782  M10×100","4"
"7","00000615","Washer  GB/T 97.1  10","8"
"8","10018841","Wear pad","4"
"9","10018840","Wear pad","2"
"10","00000623","Nut  GB/T 6182  M10","4"
"11","10018834","Safety arm weldment","1"
"12","10026595","Washer","1"
"13","00001163","Nut  GB/T 6182  M8","2"
"14","00000608","Washer  GB/T 97.1  8","4"
"15","10018838","Safety arm lock plate","1"
"16","00001033","Nut  GB/T 6182  M6","1"
"17","00000620","Washer  GB/T 97.1  6","2"
"18","10018839","Slide surface","1"
"19","00003607","Bolt  GB/T 5783  M8×50","2"
"20","00002895","Bolt  GB/T 5783  M6×35","1"
