"Item","Part No.","Description","Qty."
"1","10006358","Hose","1"
"2","50001582","Clamp","4"
"3","00000875","Bolt  GB/T 5783  M8×20","2"
"4","00000609","Washer  GB/T 93  8","2"
"5","00000608","Washer  GB/T 97.1  8","2"
"6","","Cooling system assembly (refer to 112.1 )","1"
"7","00003949","Bolt  GB/T 5783  M5×16","2"
"8","00000620","Washer  GB/T 97.1  6","8"
"9","00001033","Nut  GB/T 6182  M6","4"
"10","10010349","Bottle fixing plate","1"
"11","10010350","Coolant recovery bottle","1"
"12","10010346","Bottle bracket","1"
"13","00001163","Nut  GB/T 6182  M8","2"
"14","00000993","Bolt  GB/T 5783  M8×25","2"
"15","00000623","Nut  GB/T 6182  M10","4"
"16","00001028","Washer  GB/T 96.1  10","4"
"17","00002257","Hose","1"
"18","00000615","Washer  GB/T 97.1  10","4"
"19","00001041","Bolt  GB/T 5783  M10×40","4"
