"Item","Part No.","Description","Qty."
"29","10003664","Pin","2"
"30","10003468","Handle","2"
"31","10003469","Spacer","2"
"32","10000066","Wire clip (option)","2"
"33","00000779","Washer  GB/T 93  4 (option)","2"
"34","00002064","Screw  GB/T 70.1  M4×20 (option)","2"
"35","00001163","Nut  GB/T 6182  M8","6"
"36","10003666","Adjusting plate","2"
"37","10003665","Adjusting plate","2"
"38","00000839","Screw  GB/T 70.3  M8×30","4"
"39","00000684","Bolt  GB/T 5783  M10×35","8"
"40","","Electrical accessory assembly (refer to 110.1)","1"
"41","","Engine system assembly (refer to 111.1, 113.1, 114.1)","1"
"42","10003470","Baffle plate","2"
