"Item","Part No.","Description","Qty."
"1","00001163","Nut  GB/T 6182  M8","1"
"2","00000608","Washer  GB/T 97.1  8","2"
"3","50003114","Fuel filter bracket","1"
"4","50001586","Spacer","1"
"5","10003003","Oil-water separator","1"
"6","50001592","Clamp","8"
"7","10003967","Hose","1"
"8","00001026","Bolt  GB/T 5782  M8×80","1"
"9","10003968","Hose","1"
"10","00000615","Washer  GB/T 97.1  10","4"
"11","00000623","Nut  GB/T 6182  M10","2"
"12","10014509","Hose","1"
"13","10014510","Hose","1"
"14","10003955","Fuel filter","1"
"--","10003957","Filter element","1"
"15","00000684","Bolt  GB/T 5783  M10×35","2"
