"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040006550","Болт","А","7","JB/T5783-2000"
"2","00773400400001250","Стопорный штифт","E","9",""
"3","00773400300001070","Подшипник","А","2",""
"4","02571800300001061","Штифт V","А","1",""
"5","02571600300800000","Гидроцилиндр изменения 
вылета верхней стрелы","А","1",""
"6","02571800300001110","Прокладочное кольцо","А","1",""
"7","1040302492","Шайба","B","9","GB/T97.1-2002"
"8","02571600300001010","Шатун изменения вылета ll","А","2",""
"9","00773702800001220","Подшипник, не требующий 
смазки","А","2",""
"10","02571600301000000","Шатун изменения вылета l","А","1",""
"11","02571600300001030","Штифт IV","А","2",""
"12","00772700302201231","Подшипник, не требующий 
смазки","А","2",""
"13","02571600300001050","Прокладочное кольцо","А","1",""
"14","02571600300001040","Подшипник","А","2",""
"15","02571800300001042","Шкворень III","А","1",""
