"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"8","1040200503","Гайка","А","4","GB/T889.1-2000"
"9","1040301515","Шайба","А","4","GB/T97.1-2002"
"10","1040004518","Болт","А","4","JB/T5783-2000"
"11","1040302489","Шайба","B","4","GB/T97.1-2002"
"12","1040007502","Болт","А","4","JB/T5783-2000"
"13","1040102774","Винт","А","4","GB/T70.1-2000"
"14","1040300771","Шайба","А","4","GB/T97.1-2002"
"15","02571800130201010","Отбойный упор","А","2",""
"16","02571800130230002","Сварная деталь поддона","А","1",""
"17","1040006524","Болт","А","6","QC/T340-1999"
"18","1080000005","Масленка","А","8","JB/T7940.1-1995"
"19","02571800100230000","Штифт","А","4",""
"20","1040202857","Гайка","А","2","GB/T889.1-2000"
"21","1040302410","Шайба","А","2","GB/T97.1-2002"
"22","1040202852","Гайка","А","2","GB/T889.1-2000"
"23","1040001703","Болт","B","2","JB/T5782-2000"
"24","1040303580","Шайба","А","4","GB/T96.1-2002"
"25","1040201381","Гайка","А","1","JB/T6170-2000"
"26","00773400130401070","Болт с полукруглой головкой 
квадратным диаметром","B","1",""
"27","00773200100001030","Регулировочная шайба","А","2",""
"28","1040200741","Гайка","А","1","GB/T889.1-2000"
"29","1040301033","Шайба","B","1","GB/T97.1-2002"
"30","1040006410","Болт","А","1","JB/T5782-2000"
"31","1040104078","Винт","А","2","GB/T70.1-2000"
"32","1054600077","Игольчатый подшипник","А","8","JB/T5801-2006"
"33","00773400130401040","Прокладка I","А","8",""
"34","02571800100201021","Шатун II","B","2",""
"35","02571800130220000","Монтажная подставка","А","1",""
"36","02571800130210001","Переходный держатель","C","1",""
