"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","02571600700201023","Труба прямоугольного сечения с 
буксирной цепью","А","1",""
"2","02571600700210002","Сварная деталь поддона","А","1",""
"15","1040103076","Винт","А","8","GB/T70.3-2008"
"16","1040301515","Шайба","А","16","GB/T97.1-2002"
"17","1029904911","Пружинящая шайба","А","8","GB93-304"
"18","1040300514","Шайба","А","12","GB/T97.1-2002"
"19","1040200574","Гайка","А","8","JB/T6170-2000"
"20","02571800700201152","Трубный зажим на хвосте 
стрелы","А","2",""
"21","02571800700201141","Прижимная планка","А","4",""
"22","02571600700230000","Соединительная тарелка","А","1",""
"23","02571600700201191","Прижимная планка","А","1",""
"24","02571600700201010","Механизм буксируемой цепи","B","1",""
"25","1040102785","Винт","А","4","GB/T70.3-2000"
"26","1040004518","Болт","А","2","JB/T5783-2000"
"27","1040000469","Болт","А","2","JB/T5782-2000"
"28","1040103111","Винт","А","2","GB/T70.1-2000"
"29","02571600700201170","Ползун","А","1",""
