"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"2","00773400400001250","Стопорный штифт","E","9",""
"7","1040302492","Шайба","B","9","GB/T97.1-2002"
"24","1040102778","Винт","А","8","GB/T70.1-2000"
"25","1040300771","Шайба","А","8","GB/T97.1-2002"
"26","02571800300001260","Планка I","А","2",""
"27","1040003324","Болт","А","2","JB/T5783-2000"
"28","1040103076","Винт","А","8","GB/T70.3-2008"
"29","02571800302600001","Узел штифта II","B","2",""
"30","02571600300001020","Шкворень II","А","1",""
"31","1040103778","Винт","А","6","JB/T78-2000"
"32","02571800302001011","Круглый ползун","А","6",""
"33","1040002433","Болт","А","6","JB/T5783-2000"
"34","1040302489","Шайба","B","6","GB/T97.1-2002"
"35","02571800302020000","Узлы ползуна","А","2",""
"36","02571800301801010","Ползун цепи","А","1",""
"37","1040004029","Болт","А","2","JB/T5783-2000"
"38","1040302490","Шайба","B","2","GB/T97.1-2002"
"39","1040201381","Гайка","А","2","JB/T6170-2000"
