"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"56","00771400210001150","Самосмазывающийся 
подшипник V","А","8",""
"57","02574002000801010","Щиток трубы","А","2",""
"58","1040302489","Шайба","B","8","GB/T97.1-2002"
"59","1040007502","Болт","А","4","JB/T5783-2000"
"60","1040300771","Шайба","А","16","GB/T97.1-2002"
"61","1040005844","Болт","А","8","JB/T5783-2000"
"62","02571602000500000","Сварная деталь защиты 
сигнализационной лампы","А","2",""
"63","02571802001601180","Защитный кожух 
гидравлического замка","А","2",""
"64","1040301515","Шайба","А","8","GB/T97.1-2002"
"65","1040104036","Винт","А","8","GB/T70.3-2000"
"66","1040202855","Гайка","А","8","GB/T889.1-2000"
"67","1040102778","Винт","А","20","GB/T70.1-2000"
"68","02571602000401052","Цилиндр опоры","B","2",""
"69","02571802003601021","Плита кожуха концевого 
выключателя","А","2",""
"70","1040303579","Шайба","А","12","GB/T96.1-2002"
"71","02571602000001071","Монтажная пластина концевого 
выключателя","B","2",""
"72","02571602000440002","Осеп выносной опоры","А","4",""
"73","1040006404","Болт","А","2","JB/T5783-2000"
"74","1040200504","Гайка","А","2","GB/T889.1-2000"
"75","02571602000410005","Переходный держатель 
выносной опоры","B","2",""
"76","02571602000420003","Сварной элемент выносной 
опоры","B","2",""
"77","02571602000401011","Нейлоновый опорный диск","А","2",""
"78","02571602000401021","Прижимная планка опорного 
диска","B","4",""
"79","02571602000401032","Штифт цилиндра выносной 
опоры","А","2",""
