"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1140113796","Комбинированное соединение 
45°","А","2","EV12LOMDCF"
"2","1140101477","Прямоугольный композитный 
штуцер","А","2","EW12LOMDCF"
"3","1140101478","Прямоугольный композитный 
штуцер","А","3","EW15LOMDCF"
"4","1140101476","Прямоугольный композитный 
штуцер","А","6","EW10LOMDCF"
"5","1140101475","Прямоугольный композитный 
штуцер","А","1","EW08LOMDCF"
"6","1140114625","Прямой соединитель","А","3","GE10LR3/8EDOMD-
L61.5"
"7","1140114040","Соединение гидравлических 
труб","А","3","GE10LR3/8EDOMD"
"8","1140103357","Прямой соединитель","А","1","GE08LR1/8EDOMDCF"
"9","1010308802","Главный клапан","А","1","PSL32/D220-2-E5-DT-
D T12T-5-CAN"
"10","1140101489","Тройной композитный штуцер","А","1","EL15LOMDCF"
"11","1149901685","Прямой удлиненный 
соединитель","А","2","GE12LREDOMDCF-
L56.5"
"12","1140101809","Переходное соединение 
стыкового типа","А","1","RED15/12LOMDCF"
"13","1140107825","Штуцер","А","2","GE15LR1/2EDOMDCF"
"14","1140114036","Соединение гидравлических 
труб","А","2","GE12LREDOMD"
