"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"19","1040002433","Болт","А","6","JB/T5783-2000"
"58","02571800400801190","Износостойкая прокладка III","А","2",""
"59","02571800400801180","Износостойкая прокладка II","А","2",""
"60","02571600400801100","Шкворень II","А","1",""
"61","02571600400801110","Штифт","А","1",""
"62","00771600301001250","Стопорный штифт","C","2",""
"63","02571800400831091","Шкив II","А","1",""
"64","02571800400801141","Подшипник шкива башенной 
стрелы","А","2",""
"65","1040501496","Шплинт","А","12","JB/T91-2000"
"66","02571800400801120","Осеп цепи пластины","B","2",""
"67","02571800400801041","Осеп цепи пластины","А","4",""
"68","02571600400801011","Цепь первой выдвижной стрелы","А","2",""
"69","02571600400801020","Цепь первой втягивающей 
стрелы","B","1",""
"70","02571800400831031","Подшипник втягивания 
башенной стрелы II","А","2",""
"71","02571800400831013","Шкив","А","1",""
