"№ 
п/п","Код материалов","Наименование и 
спецификация","","Версия","Кол-
во","Примечание"
"1","1040303579","Шайба","","А","44","GB/T96.1-2002"
"4","1040104082","Винт","","А","18","GB/T70.1-2000"
"9","1040300771","Шайба","","А","2","GB/T97.1-2002"
"10","1040102598","Винт","","B","6","GB/T70.1-2000"
"11","02571602000001360","Переходная планка","","А","1",""
"12","1040102778","Винт","","А","16","GB/T70.1-2000"
"14","02571602000001061","Монтажная пластина концевого 
выключателя","","B","4",""
"15","02571602000001071","Монтажная пластина концевого 
выключателя","","B","4",""
"16","02571602003400000","Монтажная планка","","А","1",""
"17","02571602000001340","Крепительная планка","","А","1",""
"18","1040005844","Болт","","А","2","JB/T5783-2000"
"19","1040202855","Гайка","","А","4","GB/T889.1-2000"
"20","1040301515","Шайба","","А","14","GB/T97.1-2002"
"21","1040004518","Болт","","А","4","JB/T5783-2000"
"23","1040004517","Болт","","А","6","JB/T5783-2000"
"24","1040301510","Шайба","","А","2","JB/T93-1987"
"25","02571602000001270","Монтажная гнутая пластина","","А","4",""
"26","02571602003200001","Поднос","","А","1",""
"27","02571602000001280","Плата выключателя главного ИП","","А","1",""
"28","02571602000001181","Упорная планка капота","","А","4",""
"29","02571602000001261","Защитный щит","","А","1",""
"30","02571602000001190","Упорная планка капота I","","А","1",""
"31","1040006016","Винт","","B","4","GB/T70.3-2000"
"32","02571802000001314","Вкладыш","","B","1",""
"33","02571802000001321","Прокладка","","А","4",""
"34","1040301031","Шайба","","B","4","GB/T96.1-2002"
"35","1040004028","Болт","","А","4","JB/T5783-2016"
"36","1040002738","Болт","","А","4","JB/T5783-2000"
"37","1040101995","Винт","","А","2","GB/T70.1-2000"
"38","1040004565","Болт","","А","4","JB/T5783-2016"
"39","1040200504","Гайка","","А","4","GB/T889.1-2000"
"40","1040302489","Шайба","","B","4","GB/T97.1-2002"
"41","1040004033","Болт","","А","4","JB/T5783-2000"
"42","02571802000001231","Монтажная планка селекторного 
клапана","","А","1",""
"43","00773400200001070","Стопорный штифт","","F","4",""
