"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"11","1020304565","Сильноточное реле","А","1","AZ979-1A-24DE"
"12","1040300159","Шайба","А","1","GB/T96.1-2002"
"13","1020103903","Контроллер","B","1","RC28-14/30"
"14","1040102372","Винт с цилиндрической головкой 
и внутренней шестигранью","А","4","GB/T70.1-2000"
"15","1040300062","Шайба","B","4","JB/T93-1987"
"16","1040300051","Шайба","А","4","GB/T97.1-2002"
"17","1020700974","Упорная планка","А","2","249--116"
"18","1020809446","Направляющая","B","1","RD 35/7.5 B1-CX"
"19","1029904980","Соединительный зажим","А","9","2004--1301"
"20","1022290051","Торцевая пластина","B","1","280--315"
"21","1020704265","3-проводная клеммная колодка 
заземления","А","4","2004--1307"
"22","1029904933","Упорная планка","А","2","2004--1392"
"23","1020600107","Предохранитель","B","2","0287010"
"24","1020600110","Предохранитель","B","1","287030"
"25","1020600109","Предохранитель","B","1","0287025"
"26","1020600116","Предохранитель","B","1","0287003"
"27","1020600074","Предохранитель","B","4","0287010"
"28","1020602747","Предохранитель","B","1","287020"
"29","1022290054","Закорачивающая плита","А","7","2006--402"
"30","1029905163","Торцевая пластина","А","1","2006--1692"
"31","1029906870","Клемма предохранителя","А","10","2006-1681.1000-
449"
"34","1020103955","Узлы соединительные 
контроллера","А","1","R902603622"
