"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"40","1040004033","Болт","А","6","JB/T5783-2000"
"41","1040302489","Шайба","B","16","GB/T97.1-2002"
"42","02571800401430000","Узлы ползуна","А","2",""
"43","02571800401401050","Регулировочная шайба (1 мм))","B","6",""
"44","02571800401401040","Регулировочная шайба (2 мм)","B","2",""
"45","1040103076","Винт","А","12","GB/T70.3-2008"
"46","02571800302201012","Боковой ползун","А","4",""
"47","02571800402000000","Узлы ползуна","А","2",""
"48","1040002433","Болт","А","10","JB/T5783-2000"
"49","1040103778","Винт","А","4","JB/T78-2000"
"50","02571800302001011","Круглый ползун","А","4",""
"51","02571800302020000","Узлы ползуна","А","2",""
"52","02571800302201021","Ползун на головке стрелы","А","1",""
"53","1040301515","Шайба","А","6","GB/T97.1-2002"
"54","1040004619","Болт","А","3","JB/T5783-2000"
"55","1040301510","Шайба","А","3","JB/T93-1987"
"56","1040201089","Гайка","А","3","JB/T6170-2000"
