"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"36","1140270073","Шланг в сборе","А","1",""
"37","1140270072","Шланг в сборе","А","1",""
"38","1140270050","Шланг в сборе","А","1",""
"39","1140270063","Шланг в сборе","А","1",""
"40","1140270062","Шланг в сборе","А","1",""
"41","1011403110","Шланг в сборе","А","1",""
"42","1140305984","Шланг в сборе","А","1",""
"43","1140305983","Шланг в сборе","А","1",""
"44","1140305985","Шланг в сборе","А","1",""
"45","1140305982","Шланг в сборе","А","1",""
"46","1140101477","Прямоугольный композитный 
штуцер","А","4","EW12LOMDCF"
"47","1140103696","Прямой соединитель","А","2","G08LCFX"
"48","1140101475","Прямоугольный композитный 
штуцер","А","6","EW08LOMDCF"
"49","1140101425","Прямой соединитель","А","4","G12LCFX"
"50","1140102959","Тройной композитный штуцер","А","2","EL08LOMDCF"
"51","1140103412","Прямой соединитель типа 
перегородки","А","2","SV08LOMDCF"
"52","1140111237","Прямой соединитель","А","4","GE08LREDOMDCF"
"53","1140107801","Комбинированное соединение 
45°","А","2","EV08LOMDCF"
"54","1140107814","Прямой соединитель","А","2","GE08L7/16UNFOM 
DCF"
"55","1140112823","Прямой соединитель","А","2","GE10L7/8UNFOMD 
CF"
