"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"18","1040302489","Шайба","B","34","GB/T97.1-2002"
"19","1040002433","Болт","А","20","JB/T5783-2000"
"24","02571800402000000","Узлы ползуна","А","6",""
"26","1040004646","Болт","А","4","JB/T5783-2000"
"29","1040002434","Болт","А","10","JB/T5783-2016"
"31","02571800401401010","Регулировочная шайба (1 мм))","B","4",""
"32","00773400300001140","Регулировочная шайба  Ⅴ","B","10",""
"33","02571800401401040","Регулировочная шайба (2 мм)","B","4",""
"34","02571800401430000","Узлы ползуна","А","2",""
"35","02571800401420000","Узлы ползуна","А","2",""
"36","02571800401440000","Узлы ползуна","А","4",""
"37","02571800401401030","Регулировочная шайба (1 мм))","B","4",""
"38","02571800401401020","Регулировочная шайба (2 мм)","B","2",""
"39","02571800401410000","Узлы ползуна","А","2",""
