"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"28","1040103076","Винт","А","8","GB/T70.3-2008"
"57","02571800401430000","Узлы ползуна","А","2",""
"58","02571800401401040","Регулировочная шайба (2 мм)","B","6",""
"59","1040102757","Винт","А","6","GB/T70.3-2000"
"60","1040103076","Винт","А","14","GB/T70.3-2008"
"61","02571600302401010","Прижимная планка коробки 
буксировочной цепи","А","1",""
"62","02571800302201012","Боковой ползун","А","4",""
"63","02571800402000000","Узлы ползуна","А","2",""
"64","1040302489","Шайба","B","4","GB/T97.1-2002"
"65","1040002433","Болт","А","4","JB/T5783-2000"
"66","00773700400001290","Скоба","C","2",""
"67","02571800300001211","Штифт","А","1",""
"68","1040004033","Болт","А","3","JB/T5783-2000"
"69","1040302489","Шайба","B","5","GB/T97.1-2002"
"70","02571800301600000","Узел штифта","А","2",""
"71","02571800300001081","Штифт VII","B","1",""
"72","00773400300001200","Стопорный штифт","F","1",""
