"№ 
п/п","Код материалов","Наименование и 
спецификация","","Версия","Кол-
во","Примечание"
"","","","","","",""
"","","","","","",""
"1","02571600700201023","Труба прямоугольного сечения с 
буксирной цепью","","А","1",""
"2","02571600700210002","Сварная деталь поддона","","А","1",""
"3","02571800700201090","Направляющий блок","","А","2",""
"4","02571800700201160","Гнутая пластина","","А","1",""
"5","02571800700201130","Усиленная пластина","","А","1",""
"6","02571800700201150","Трубный зажим I","","А","1",""
"7","02571800700201140","Прижимная планка","","А","2",""
"8","1040104027","Винт","","А","4","GB/T70.1-2000"
"9","1040001122","Болт","","А","4","JB/T5783-2000"
"10","1040102739","Винт","","А","2","GB/T70.1-2000"
"11","1040201089","Гайка","","А","2","JB/T6170-2000"
"12","1040302489","Шайба","","B","2","GB/T97.1-2002"
"13","1040004032","Болт","","А","2","JB/T5783-2000"
"14","1040102738","Винт","","А","2","GB/T70.1-2000"
"15","1040103076","Винт","","А","8","GB/T70.3-2008"
"16","1040301515","Шайба","","А","16","GB/T97.1-2002"
"17","1029904911","Пружинящая шайба","","А","8","GB93-304"
"18","1040300514","Шайба","","А","12","GB/T97.1-2002"
"19","1040200574","Гайка","","А","8","JB/T6170-2000"
"20","02571800700201152","Трубный зажим на хвосте 
стрелы","","А","2",""
"21","02571800700201141","Прижимная планка","","А","4",""
"30","02571600700401010","Механизм буксируемой цепи","","А","1",""
"31","02571600700410000","Сварная деталь кронштейна","","А","1",""
"32","1040103113","Винт","","А","2","GB/T70.1-2000"
"33","02571800700401080","Нейлоновый блок","","А","1",""
"34","1040301610","Шайба","","А","8","JB/T93-1987"
"35","1040102372","Винт с цилиндрической головкой 
и внутренней шестигранью","","А","4","GB/T70.1-2000"
"36","1040201865","Гайка","","А","4","JB/T6170-2000"
"37","1040004517","Болт","","А","2","JB/T5783-2000"
"38","02571800700401091","Трубный зажим III","","А","3",""
"39","02571800700401140","Прижимная планка III","","А","5",""
"40","1040004523","Болт","","А","6","JB/T5783-2000"
"41","1040301515","Шайба","","А","26","GB/T97.1-2002"
"42","1040201089","Гайка","","А","12","JB/T6170-2000"
"43","1040300771","Шайба","","А","14","GB/T97.1-2002"
