"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"80","1040301515","Шайба","А","8","GB/T97.1-2002"
"81","1040104036","Винт","А","8","GB/T70.3-2000"
"82","1040005844","Болт","А","8","JB/T5783-2000"
"83","1040300771","Шайба","А","16","GB/T97.1-2002"
"84","02571602000500000","Сварная деталь защиты 
сигнализационной лампы","А","2",""
"85","02571602000401021","Прижимная планка опорного 
диска","B","4",""
"86","02571802001601180","Защитный кожух 
гидравлического замка","А","2",""
"87","1040202855","Гайка","А","8","GB/T889.1-2000"
"88","02571802003601021","Плита кожуха концевого 
выключателя","А","2",""
"89","02571602000401011","Нейлоновый опорный диск","А","2",""
"90","1040102778","Винт","А","20","GB/T70.1-2000"
"91","02571602000440002","Осеп выносной опоры","А","4",""
"92","02571602000401052","Цилиндр опоры","B","2",""
"93","1040303579","Шайба","А","12","GB/T96.1-2002"
"94","02574002000801010","Щиток трубы","А","2",""
"95","02571602000001071","Монтажная пластина концевого 
выключателя","B","2",""
"96","1040302489","Шайба","B","8","GB/T97.1-2002"
"97","1040007502","Болт","А","4","JB/T5783-2000"
"98","00771400210001150","Самосмазывающийся 
подшипник V","А","8",""
"99","1040006404","Болт","А","2","JB/T5783-2000"
"100","1040200504","Гайка","А","2","GB/T889.1-2000"
"101","02571602002410004","Переходный держатель 
выносной опоры","B","2",""
"102","02571602002420003","Сварная деталь правой 
выносной опоры","B","2",""
"103","02571602000401032","Штифт цилиндра выносной 
опоры","А","2",""
