"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"15","00773400300001050","Подшипник","А","10",""
"18","1040302489","Шайба","B","4","GB/T97.1-2002"
"19","1040002433","Болт","А","6","JB/T5783-2000"
"43","02571600400810000","Телескопический цилиндр 
башенной стрелы","А","1",""
"44","02571800400001210","Регулировочная шайба","А","2",""
"45","02571800400001220","Регулировочная шайба (1 мм)","А","2",""
"46","00773400400001250","Стопорный штифт","E","1",""
"47","02571600400001271","Прокладочное кольцо","А","1",""
"48","1040004570","Болт","А","1","JB/T5783-2000"
"49","1040302492","Шайба","B","11","GB/T97.1-2002"
"50","1040200681","Гайка","А","4","JB/T6170-2000"
"51","1040000225","Болт","А","1","JB/T5782-2000"
"52","1040302490","Шайба","B","1","GB/T97.1-2002"
"53","1040200507","Гайка","А","1","GB/T889.1-2000"
"54","1040007461","Болт","А","4","JB/T5782-2000"
"55","02571600400801080","Штифт","А","1",""
"56","02571800400801061","Опорная планка масляного 
цилиндра","А","1",""
"57","02571600401000000","Гидроцилиндр изменения 
вылета башенной стрелы","А","1",""
