"Item","Part No.","Description","Qty."
"1","00000368","8812-252820  Bearing","4"
"2","10000536","Hinge pin","2"
"3","00000692","Controller","1"
"4","00002573","Nut  GB/T 6183.1  M5","4"
"5","10000560","Screw","4"
"6","00000698","Hour meter","1"
"7","10000452","Hydraulic tank assembly (refer to 107.1)","1"
"8","10000561","Hydraulic tray weldment (JCPT0808DC, JCPT1008DC, 
JCPT1012DC, JCPT1212DC, JCPT1412DC)","1"
"","10000844","Hydraulic tray weldment (JCPT1612DC, JCPT1614DC)","1"
"9","00002575","Nut  GB/T 6183.1  M8","1"
"10","00002865","Bolt  QC/T 340  M6×14","6"
"11","10000540","Handle hole ring","1"
"12","10000480","Latch (right)","1"
"13","00002866","Bolt  QC/T 340  M6×20","2"
"14","","Motor controller assembly (refer to 108.1)","1"
"15","00000620","Washer  GB/T 97.1  6","4"
"16","00000621","Washer  GB/T 93  6","4"
"17","00002029","Screw  GB/T 70.1  M6×12","4"
"18","10000048","Cover","1"
"19","00000666","Horn","1"
"20","00002875","Bolt  QC/T 340  M8×20","5"
"21","00001244","Alarm","1"
"22","00002872","Bolt  QC/T 340  M8×16","1"
"23","00000829","Screw  GB/T 70.3  M6×12","2"
"24","00000837","Screw  GB/T 70.3  M8×16","4"
"25","00000839","Screw  GB/T 70.3  M8×30","4"
"26","10000559","Motor bracket","1"
"27","00000608","Washer  GB/T 97.1  8","4"
