"Item","Part No.","Description","Qty."
"1","00003001","Relief valve","1"
"2","00000531","Valve body","1"
"3","00002997","Plug  SAE3","3"
"4","00002999","Plug  SAE2","9"
"5","00001835","Elbow","2"
"6","00001264","Straight fitting","2"
"7","00001073","Plug  VSTI14×1.5ED","1"
"8","00001291","Straight fitting","1"
"9","00001282","Straight fitting","2"
"10","00003000","Orifice  Φ1.0","2"
"11","00003004","Solenoid valve spool","1"
"12","00003018","Coil","2"
"13","00003017","Nut","2"
"14","00003002","Steer priority flow control","1"
"15","00003019","Coil","1"
"16","00003003","Solenoid valve spool","1"
