"Item","Part No.","Description","Qty."
"1","10000354","Left extension rail","1"
"2","00002573","Nut  GB/T 6183.1  M5","4"
"3","50000555","Manual box","1"
"4","00002523","Screw  GB/T 973  M5×16","4"
"5","10000357","Front rail","1"
"6","00000706","Platform control box assembly (refer to 306.1)","1"
"7","10000390","Platform control box mount bracket","1"
"","10001715","Platform control box mount bracket (with cover)","1"
"8","00001986","Screw  GB/T 818  M6×16 - H","4"
"9","10001178","Inserted pin","2"
"10","00001991","Rivet  GB/T 12618.4  4.8×16","2"
"11","00002568","Bolt  GB/T 16674  M8×60","6"
"12","00002575","Nut  GB/T 6183.1  M8","6"
"13","10000361","Right extension rail","1"
"14","10002044","Extension deck weldment","1"
"15","10000333","Platform locking device assembly (refer to 305.1)","1"
"16","00002875","Bolt  QC/T 340  M8×20","2"
"17","00000887","Circlips  GB/T 893.1-47","2"
"18","00001295","Bearing  GB/T 276-1994 - 6204","2"
"19","10002032","Roller","2"
"20","10000307","Roller bracket","2"
"21","00001155","Screw  GB/T 70.3  M8×55","8"
"22","10000046","Slide pad","2"
"23","00000822","Screw  GB/T 70.3  M5×16","8"
"24","10000376","Bumper","2"
"25","00000607","Screw  GB/T 818  M5×12 - H","2"
