"Item","Part No.","Description","Qty."
"1","00000368","8812-252820  Bearing","4"
"2","10000536","Hinge pin","2"
"3","00000692","Controller","1"
"4","00002573","Nut  GB/T 6183.1  M5","4"
"5","10000560","Screw","4"
"6","00000698","Hour meter","1"
"7","10000452","Hydraulic tank assembly (refer to 107.1)","1"
"8","10000561","Hydraulic tray weldment (JCPT0808HD, JCPT1008HD, 
JCPT1012HD, JCPT1212HD, JCPT1412HD)","1"
"","10000844","Hydraulic tray weldment (JCPT1612HD, JCPT1614HD)","1"
"9","00002575","Nut  GB/T 6183.1  M8","1"
"10","10000540","Handle hole ring","1"
"11","10000480","Latch (right)","1"
"12","00002866","Bolt  QC/T 340  M6×20","2"
"13","00001064","250A Fuse assembly","1"
"--","00001065","250A Fuse","1"
"--","00000757","Fuse seat","1"
"14","00001232","Screw  GB/T 818  M4×16 - H","2"
"15","00000779","Washer  GB/T 93  4","2"
"16","00000778","Washer  GB/T 97.1  4","2"
"17","00000693","Motor controller","1"
"18","00001231","Screw  GB/T 818  M6×14 - H","4"
"19","00000621","Washer  GB/T 93  6","4"
"20","00000620","Washer  GB/T 97.1  6","4"
"21","00000666","Horn","1"
"22","00002875","Bolt  QC/T 340  M8×20","1"
"23","00001244","Alarm","1"
"24","00002872","Bolt  QC/T 340  M8×16","1"
"25","00000837","Screw  GB/T 70.3  M8×16","4"
