"Item","Part No.","Description","Qty."
"1","10000596","Screw","2"
"2","00001029","Nut  GB/T 6170  M12","2"
"3","00001030","Screw  GB/T 70.1  M5×10","2"
"4","10000482","Cover","2"
"5","00000429","8813-556550  Bearing","4"
"6","10000595","Washer","2"
"7","10000599","Steer yoke weldment","1"
"8","00000674","Bolt  GB/T 5783  M10×20","2"
"9","00001028","Washer  GB/T 96.1  10","2"
"10","00000368","8812-252820  Bearing","4"
"11","10000676","Tie rod weldment (JCPT0808HD, JCPT1008HD)","1"
"","10000614","Tie rod weldment (JCPT1012HD, JCPT1212HD)","1"
"","10000953","Tie rod weldment (JCPT1412HD)","1"
"","10000956","Tie rod weldment (JCPT1612HD)","1"
"","10000873","Tie rod weldment (JCPT1614HD)","1"
"12","00000384","8832-26  Bearing","2"
"13","00000619","Bolt  GB/T 5783  M6×25","1"
"14","00000217","8902-06045  Pin","1"
"15","00002574","Nut  GB/T 6183.1  M6","1"
"16","00000571","896-20085  Pin","1"
"17","00001282","Straight fitting","2"
"18","10000449","Steer cylinder assembly (without seal kit)","1"
"--","00003057","Seal kit  4020","1"
"19","00000267","892-20045  Pin","1"
"20","00000926","Circlips  GB/T 894.1-20","1"
"21","00002182","Screw  GB/T 70.1  M12×90","8"
"22","00002009","Hydraulic motor (JCPT0808HD, JCPT1008HD, 
JCPT1012HD)","2"
"","00000533","Hydraulic motor (JCPT1212HD, JCPT1412HD, 
JCPT1612HD, JCPT1614HD)","2"
