"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"48","1040302489","Шайба","B","52","GB/T97.1-2002"
"65","00771600301001470","Износостойкая прокладка Ⅱ","B","6",""
"107","02552000301001040","Стальной трос выдвигающей 
башенной стрелы","А","3",""
"154","1040002436","Болт","А","5","JB/T5783-2000"
"170","1040201904","Гайка","А","6","GB/T889.1-2015"
"171","1040100378","Винт","B","6","GB/T70.1-2000"
"172","1040300514","Шайба","А","12","GB/T97.1-2002"
"173","02552300301001080","Втулка","А","3",""
"174","02552000301020000","Шкив выдвигающей башенной 
стрелы","А","1",""
"175","02552000301001020","Защитная планка шкива 
выдвигающей башенной стрелы","B","2",""
"176","00771900311150001","Вал шкива выдвигающей 
башенной стрелы","D","1",""
"177","02552000301001010","Подшипник, не требующий 
смазки","А","2",""
"178","1040302821","Шайба","А","1","GB/T96.1-2002"
