"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1000001002","Дизельный двигатель","А","1","V2607-CR-TIE5B- 
ZML-1"
"2","1040003912","Болт","А","4","JB/T5783-2000"
"3","1040302492","Шайба","B","4","GB/T97.1-2002"
"4","00771407140201030","Изогнута пластинка III","А","1",""
"5","1040100105","Винт","B","4","GB/T70.1-2000"
"6","1040300771","Шайба","А","4","GB/T97.1-2002"
"7","1000001002_REF008","Эталонные узлы","А","2",""
"8","00772107120201060","Монтажная планка ЭБУ","А","1",""
"9","1040201896","Гайка","А","4","GB/T889.1-2015"
"10","1040301515","Шайба","А","4","GB/T97.1-2002"
"11","1040004518","Болт","А","4","JB/T5783-2000"
"12","1009900942","Амортизатор двигателя","А","8","07Y-03-10000A-
1150"
"13","00773407100201050","Подкладка","А","4",""
"14","1040200161","Гайка","А","4","JB/T889-1986"
"15","02551707150210000","Кронштейн двигателя","А","1",""
"16","00771407140201020","Гнутая пластина Ⅱ","А","1",""
"17","00771407140201010","Гнутая пластина I","А","1",""
"18","00771407140201040","Гнутая пластина IV","B","1",""
"19","1040302490","Шайба","B","16","GB/T97.1-2002"
"20","1040002273","Болт","B","16","JB/T5786-2000"
"21","1040101492","Винт","А","12","GB/T70.1-2000"
"22","1040101692","Болт","B","8","JB/T5786-2000"
"23","00771407140201070","Крышка муфты","А","1",""
"24","1030400480","Пружинная муфта в сборе","B","1","714368--1"
