"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1019813241(3)","Масштабный электромагнитный 
клапан","А","1",""
"2","1019815314","Золотник клапана","А","1",""
"3","1019815316(2)","Гнездо пружины","А","2",""
"4","1019815302(3)","Пружина","А","2",""
"5","1081012004","Уплотнительное кольцо","А","1",""
"6","1019815392","Резьбовая заглушка","А","1",""
"7","1081011999(4)","Уплотнительное кольцо","А","1",""
"8","1081011998(4)","Уплотнительное кольцо","А","3",""
"9","1019815303(3)","Компенсационный золотник","А","1",""
"10","1019815391(3)","Резьбовая заглушка","А","1",""
"11","1081012001(3)","Уплотнительное кольцо","А","1",""
"12","1019815304(3)","Обратный клапан","А","2",""
"13","1140104958","Внутренняя шестигранная 
заглушка (с E-образным 
кольцом)","А","1",""
"14","1040101237","Винт с цилиндрической головкой 
и внутренней шестигранью","А","2",""
