"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","02552007110401080","Труба топлива Ⅷ","А","1",""
"2","02552007110401010","Труба топлива Ⅰ","А","1",""
"3","00773607100401010","Бак топлива в сборе","C","1",""
"4","1040302512","Шайба","А","4","GB/T96.1-2002"
"5","1040302480","Шайба","B","6","GB/T96.1-2002"
"6","1040002434","Болт","А","4","JB/T5783-2016"
"7","1040006017","Винт","B","2","GB/T70.1-2000"
"8","02562307100401090","Опора масляного фильтра","А","1",""
"9","1040202854","Гайка","А","2","GB/T889.1-2000"
"10","1040200503","Гайка","А","8","GB/T889.1-2000"
"11","1000401616","Водомаслоотделитель","А","1",""
"12","1040004619","Болт","А","4","JB/T5783-2000"
"13","02561907100401020","Труба топлива Ⅱ","А","1",""
"14","1010002646","Электронный топливный насос","А","1",""
"15","00772707100401050","Соединитель I","А","2",""
"16","00772707100401070","Шайба","А","4",""
"17","00772707100401060","Пустотелый болт","А","2",""
"18","02562307100401030","Труба топлива Ⅲ","А","1",""
"19","1000401589","Штуцер","А","1",""
"20","1029902994","Бандажная лента","А","4",""
"21","02552007110401050","Труба топлива Ⅴ","А","1",""
"22","1990202279","Хомут спирального червяка","А","12","SX9/W4/12-20"
"23","1990200692","Резиновая лента с пластическим 
покрытием","А","7",""
"24","1040300771","Шайба","А","9","GB/T97.1-2002"
"25","1040005844","Болт","А","7","JB/T5783-2000"
"26","00771107150401040","Труба топлива Ⅳ","B","1",""
"27","02552007110401070","Труба топлива Ⅶ","А","1",""
"28","02562307100401060","Труба топлива Ⅵ","А","1",""
"29","1009902027","Червячный хомут турбины","А","4","SX9/W4/8-16"
"30","1000401587","Обратный клапан","А","1",""
"31","1040301515","Шайба","А","5","GB/T97.1-2002"
"32","1040004519","Болт","А","3","JB/T5783-2000"
"33","1000400800","Топливный фильтр","А","1",""
