"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"225","1019822166","Корпус цилиндра","А","1",""
"226","1081009761","Поршневое уплотнительное 
кольцо","А","1",""
"227","1019822167","Винт","А","1","GB/T 78-2000"
"228","1019822168","Поршневое уплотнительное 
кольцо","А","1",""
"229","1081200737","Стопорное кольцо","А","2",""
"230","1019822169","О-образное кольцо","А","1","GB/T 3452,1-2005"
"231","1019822170","О-образное кольцо","А","1","GB/T 3452,1-2005"
"232","1019822171","Стопорное кольцо","А","1",""
"233","1019822172","Направляющая втулка","А","1",""
"234","1019822173","Направляющее кольцо","А","2",""
"235","1019822174","Уплотнительное кольцо STd","А","1",""
"236","1019822175","Уплотнительное кольцо стержня 
модели В3","А","1",""
"237","1081200341","Пылезащитное кольцо","А","1",""
"238","1019822176","Поршневой шток","А","1",""
