"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"23","1040302490","Шайба","B","23","GB/T97.1-2002"
"24","1040002442","Болт","А","7","JB/T5783-2000"
"48","1040302489","Шайба","B","52","GB/T97.1-2002"
"53","02552000301001160","Прокладочное кольцо","А","2",""
"54","02552000301001150","Упор I","А","2",""
"55","1040200507","Гайка","А","5","GB/T889.1-2000"
"56","1040004535","Болт","А","5","JB/T5782-2000"
"57","00771500301020000","Шкив втягивающей верхней 
стрелы","C","2",""
"58","02552000301001090","Защитная планка шкива 
втягивающей верхней стрелы","А","2",""
"59","02552000301001050","Стальной трос втягивающей 
верхней стрелы","А","2",""
"60","02552000301060000","Осеп втягивающей стрелы 
первой секции","B","2",""
"61","1040002433","Болт","А","2","JB/T5783-2000"
"62","00771500301001241","Подшипник, не требующий 
смазки","А","2",""
"63","00771600301151040","Роликовый шкив","C","4",""
"64","1040000227","Болт","А","1","JB/T5782-2000"
"65","00771600301001470","Износостойкая прокладка Ⅱ","B","6",""
"66","00771500301041021","Боковая планка","А","2",""
"67","00771600301151020","Втулка","А","4",""
"68","1040200504","Гайка","А","2","GB/T889.1-2000"
"69","1040004554","Болт","А","2","JB/T5782-2000"
"70","1040302489","Шайба","B","2","GB/T97.1-2002"
"71","00771500301041011","Соединительная плита","А","1",""
