"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040004519","Болт","А","14","JB/T5783-2000"
"2","00771407140601160","Гнутая пластина Ⅲ","B","1",""
"3","1040002458","Болт","А","4","JB/T5783-2000"
"4","1040004518","Болт","А","10","JB/T5783-2000"
"5","00772107120601020","Монтажная панель водяного 
бака","А","1",""
"6","1000300735","Расширительный бак","А","1",""
"7","1990202279","Хомут спирального червяка","А","4","SX9/W4/12-20"
"8","00771407140601110","Паровой рукав II","А","1",""
"9","00771407140601090","Паровой рукав I","А","1",""
"10","00771407140601050","Шланг III","А","1",""
"11","00771407140601070","Водовыпускная труба","А","1",""
"12","00771407140601040","Шланг II","А","1",""
"13","1990202287","Хомут спирального червяка","А","8","SX12/W3/32-54"
"14","00771407140601080","Труба подпиточной воды","А","1",""
"15","1990202281","Хомут спирального червяка","А","2","SX9/W4/20-32"
"16","00771407140601030","Шланг I","А","1",""
"17","00771407140601060","Обратный водовод","А","1",""
"18","00771607110601020","Шланг IV","А","1",""
"19","1000300984","Радиатор в сборе","B","1",""
"20","00771407140601150","Гнутая пластина Ⅱ","А","1",""
"21","00773407130601210","Губка изоляции","А","1",""
"22","1040002262","Болт","B","4","JB/T5783-2000"
"23","1040301031","Шайба","B","8","GB/T96.1-2002"
"24","00771407100601170","Подкладка","А","6",""
"25","1040200170","Гайка","А","4","JB/T889-1986"
"26","1040200503","Гайка","А","18","GB/T889.1-2000"
"27","1040301735","Шайба","А","33","GB/T97.1-2002"
"28","00771407140601140","Гнутая пластина I","А","1",""
"29","02552007110601010","Ветроотбойник","А","1",""
"30","00771607110601180","Планка I","C","2",""
"31","00771607110601200","Планка III","B","1",""
"32","00771607110601190","Пластина II","B","1",""
