"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1019813241(2)","Масштабный электромагнитный 
клапан","А","2",""
"2","1081012002","Уплотнительное кольцо","А","2",""
"3","1040104968","Винт с цилиндрической головкой 
и внутренней шестигранью","А","4",""
"4","1081012003","Уплотнительное кольцо","А","2",""
"5","1010310438(2)","Предохранительный клапан","А","2",""
"6","1019815301","Золотник клапана","А","1",""
"7","1019815300(2)","Гнездо пружины","А","2",""
"8","1019815302(2)","Пружина","А","2",""
"9","1081011999(3)","Уплотнительное кольцо","А","1",""
"10","1081011998(3)","Уплотнительное кольцо","А","3",""
"11","1019815303(2)","Компенсационный золотник","А","1",""
"12","1019815391(2)","Резьбовая заглушка","А","1",""
"13","1081012001(2)","Уплотнительное кольцо","А","1",""
"14","1019815304(2)","Обратный клапан","А","2",""
"15","1019815316","Золотник клапана","А","1",""
