"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","00771407030201152","Опасность - 
Несанкционированная 
эксплуатация запрещена","А","2",""
"2","00773407000201472","Знак предупреждения ожогов","А","4",""
"3","00773407002001172","Маркировка ""Не прикасаться""","А","2",""
"4","00773407000201432","Точка подъема","А","4",""
"5","02555407010201152","Знак безопасности капота","А","2",""
"6","00773407000231592","Сложный знак точки привязки и 
точки подъема I","А","4",""
"7","00773407010231022","Опасность защемления","А","4",""
"8","02555407010231062","Демонтаж в соответствии с 
инструкцией","А","4",""
"9","00773407000231582","Сложный знак привязки и 
запрещения подъема","А","12",""
"10","00773407000201272","Запрещается промывать водой","А","6",""
"11","02555407010231022","Опасность опрокидывания без 
текста 300KG-454KG","А","4",""
"12","02552007000201042","Описание подсказок по 
транспортировке и подъему","А","2",""
"13","02555407010201132","Опасность защемления и 
поражения электрическим током","А","4",""
"14","00771407000201122","ZOOMLION-Капот","B","4",""
"19","00775607000401322","Знак неизоляции","А","4",""
"20","00773407000231252","Стопорный штифт","А","2",""
"21","02551507030201120","Желтая стрелка","А","6",""
"22","02551507030201110","Синяя стрелка","А","6",""
