"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"23","1040302490","Шайба","B","23","GB/T97.1-2002"
"26","02552000301001030","Стальной трос выдвигающей 
верхней стрелы","А","2",""
"48","1040302489","Шайба","B","52","GB/T97.1-2002"
"188","1040200504","Гайка","А","4","GB/T889.1-2000"
"189","1040004595","Болт","А","2","JB/T5782-2000"
"190","1040004554","Болт","А","2","JB/T5782-2000"
"191","1040002439","Болт","А","4","JB/T5783-2000"
"192","00771500301180000","Шкив выдвигающей верхней 
стрелы","B","1",""
"193","02552000301001130","Защитная планка шкива 
выдвигающей верхней стрелы","А","1",""
"194","00771600311110000","Сварная деталь штифта 
выдвигающей верхней стрелы","D","1",""
"195","02552000301001120","Направляющий ползун 
выдвигающей верхней стрелы","А","2",""
"196","00771900311001261","Подшипник, не требующий 
смазки","А","2",""
"197","00771600301001480","Износостойкая прокладка III","B","2",""
"198","1040005846","Болт","А","1","JB/T5783-2000"
"199","02552000301050000","Опора шкива","А","1",""
