"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"22","1040201092","Гайка","B","2","JB/T6170-2000"
"23","1040302490","Шайба","B","23","GB/T97.1-2002"
"24","1040002442","Болт","А","7","JB/T5783-2000"
"25","1040301515","Шайба","А","6","GB/T97.1-2002"
"26","02552000301001030","Стальной трос выдвигающей 
верхней стрелы","А","2",""
"27","00771500301080001","Держатель стального троса Ⅰ","А","1",""
"28","00771600301001231","Направляющий стержень","А","2",""
"29","00771600301001221","Монтажная планка датчика","А","2",""
"30","1040301511","Шайба","А","2","GB/T97.1-2002"
"31","00771600301001320","Пружина","А","2",""
"32","00771400300801350","Датчик","А","2",""
"33","00771600301001311","Гнутая пластина","А","1",""
"34","1040004517","Болт","А","2","JB/T5783-2000"
"35","1040201111","Гайка","А","2","JB/T889-1986"
