"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"115","02552000301201060","Нижняя прижимная планка","А","1",""
"116","02552000301201021","Боковая щеточная доска I","А","1",""
"117","02552000301201070","Боковая прижимная планка","А","2",""
"118","1040302489","Шайба","B","18","GB/T97.1-2002"
"119","02552000301201051","Боковая щеточная доска Ⅱ","А","1",""
"120","1040300771","Шайба","А","18","GB/T97.1-2002"
"121","00771100301310000","Ползун","B","2",""
"122","00773400300001131","Регулировочная шайба (2 мм)","А","6",""
"123","02552300301201010","Верхняя щеточная доска","А","1",""
"124","1040001631","Болт","А","18","JB/T5783-2000"
"125","00771600301215010","Верхняя прижимная планка","А","1",""
"126","00773400300001140","Регулировочная шайба Ⅴ","B","16",""
"127","02552000301201040","Нижняя щеточная доска II","А","1",""
"128","02552000301201030","Нижняя щеточная доска I","А","2",""
"129","00773400300001150","Регулировочная шайба Ⅵ","А","8",""
"130","1040002434","Болт","А","18","JB/T5783-2016"
"131","00771100301320000","Ползун","B","4",""
"132","02552000301220000","Ползун","А","2",""
