"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040301515","Шайба","А","25","GB/T97.1-2002"
"2","1040200503","Гайка","А","17","GB/T889.1-2000"
"3","1040302489","Шайба","B","50","GB/T97.1-2002"
"4","02552000710600000","Тяговая труба с короткой цепью","А","1",""
"5","00771600700001010","Нажимная колодка 
трубопровода","C","8",""
"6","1040004656","Болт","А","3","JB/T5782-2000"
"7","00771400710001021","Прижимная планка","А","4",""
"8","1040102738","Винт","А","3","GB/T70.1-2000"
"9","00771600700001120","Хомут трубопровода","А","4",""
"10","00771600700001131","Прижимная планка","А","2",""
"11","1040103375","Винт","А","16","GB/T70.2-2000"
"12","1040200504","Гайка","А","23","GB/T889.1-2000"
"13","1040101995","Винт","А","4","GB/T70.1-2000"
"14","02552000701400000","Короткая стальная буксирная 
цепь","B","1",""
