"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040301515","Шайба","А","25","GB/T97.1-2002"
"3","1040302489","Шайба","B","50","GB/T97.1-2002"
"5","00771600700001010","Нажимная колодка 
трубопровода","C","8",""
"6","1040004656","Болт","А","3","JB/T5782-2000"
"7","00771400710001021","Прижимная планка","А","4",""
"9","00771600700001120","Хомут трубопровода","А","4",""
"10","00771600700001131","Прижимная планка","А","2",""
"11","1040103375","Винт","А","16","GB/T70.2-2000"
"12","1040200504","Гайка","А","23","GB/T889.1-2000"
"15","1040301502","Шайба","А","27","JB/T93-1987"
"18","02552000710400000","Тяговая труба с длинной цепью","А","1",""
"20","1040002458","Болт","А","20","JB/T5783-2000"
"21","1040302480","Шайба","B","20","GB/T96.1-2002"
"22","00771100750200000","Нижняя крышка желоба 
проводов","B","4",""
"23","00771100750001050","Верхняя крышка желобка 
проводов","B","4",""
"36","02552000701200000","Длинная стальная буксирная 
цепь","B","1",""
"42","1040004522","Болт","А","2","JB/T5783-2000"
"43","1040002434","Болт","А","15","JB/T5783-2016"
"44","02552000702400000","Держатель длинной цепи II","А","1",""
"45","00771500701800000","Держатель длинной цепи","А","3",""
"46","00771500702000000","Хвостовой держатель длинной 
цепи","B","1",""
"47","02552000700001230","Верхняя крышка желобка 
проводов","А","1",""
"48","02552000702200000","Нижняя крышка желоба 
проводов","А","1",""
