"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"66","NO-NUMBER","Пылезащитное кольцо","А","1",""
"67","NO-NUMBER(2)","Уплотнение вала","А","1",""
"68","NO-NUMBER(3)","Упорная прокладка","А","1",""
"69","NO-NUMBER(4)","Уплотнительное кольцо корпуса","А","3",""
"70","NO-NUMBER(5)","Корпус","А","1",""
"71","NO-NUMBER(6)","Упорный подшипник","А","1",""
"72","NO-NUMBER(7)","Вал сцепления","А","1",""
"73","NO-NUMBER(8)","Распорный диск","А","1",""
"74","NO-NUMBER(9)","Пар вращающих статоров","А","1",""
"75","NO-NUMBER(10)","Штифт совместного действия","А","1",""
"76","NO-NUMBER(11)","Задняя крышка","А","1",""
"77","NO-NUMBER(12)","Заглушка задней крышки","А","1",""
"78","NO-NUMBER(13)","Прокладка болта","А","7",""
"79","NO-NUMBER(14)","Болт","А","7",""
"80","NO-NUMBER(15)","Вал","А","1",""
"81","NO-NUMBER(16)","Шпонка","А","1",""
