"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"10","1029804242","Защитная оболочка штепселя","А","1","DT04-3P"
"11","1029804239","Защитная оболочка розетки 
DT06-3S","А","1","DT06-3S"
"12","1029900403","Защитная оболочка розетки","А","1","192900--0425"
"13","1021404015","Датчик угла наклона","А","1","MSS-530"
"14","1029906298","Концевой выключатель 
1NO+1NC","А","2","ZCD21+ZCE01+ZC 
Y25+Z C DEP16"
"15","1020700953","Защитная оболочка штепселя","А","1","DT04-4P"
"16","1020700955","Защитная оболочка розетки 
(четырехштырьковой) 0.75-2.0","А","1","DT06-4S"
"17","1020100949","Защитная оболочка штепселя","А","2","DT04-2P"
"18","1029904249","Защитная оболочка штепселя 
(двойной)","А","2","DT06-2S"
"19","1022600168","Рабочие лампы","А","2","LP203P"
"20","1029902116","Шестижильная розетка","А","1","DTM04-6P"
"21","1029902115","Шестижильная розетка","А","1","DTM06-6S"
"22","1020202285","Датчик веса","А","1","SLB625D"
"23","1020521022","Педальный переключатель","А","1","FS-5G-20-C(hole)"
