"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1140282371","Шланг в сборе","А","1",""
"2","02552005200201026","Стальная труба в сборе","А","1",""
"3","1140284441","Шланг в сборе","А","1",""
"4","1140229317","Шланг в сборе","А","1",""
"5","02552005200201024","Стальная труба в сборе","А","1",""
"6","1140262323","Шланг в сборе","А","1",""
"7","1140254393","Шланг в сборе","А","1",""
"8","1140281221","Шланг в сборе","А","1",""
"9","1140226104","Шланг в сборе","А","1",""
"10","02552005200201027","Стальная труба в сборе","А","1",""
"11","1140214157","Шланг в сборе","А","1",""
"12","1140212677","Шланг в сборе","А","2",""
"13","1140212678","Шланг в сборе","А","2",""
"14","1140245613","Шланг в сборе","А","1",""
"15","1140232588","Шланг в сборе","А","1",""
"16","1140258243","Шланг в сборе","А","1",""
"17","1011403147","Шланг в сборе","А","1",""
"18","1011403149","Шланг в сборе","А","1",""
"19","1011403148","Шланг в сборе","А","1",""
"20","1140245621","Шланг в сборе","А","1",""
"21","1140208467","Шланг в сборе","А","1",""
"22","1140240588","Шланг в сборе","А","1",""
"23","1140267382","Шланг в сборе","А","1",""
"24","1140212391","Шланг в сборе","А","1",""
"25","1140257475","Шланг в сборе","А","1",""
"26","1140205191","Шланг в сборе","А","1",""
"27","1140245759","Шланг в сборе","А","1",""
"28","1140212335","Шланг в сборе","А","1",""
"29","1140225065","Шланг в сборе","А","1",""
"30","1140282353","Шланг в сборе","А","1",""
"31","1140282352","Шланг в сборе","А","1",""
"32","1140208178","Шланг в сборе","А","1",""
"33","02552005200201022","Стальная труба в сборе","А","1",""
"34","1140282356","Шланг в сборе","А","1",""
"35","1140203537","Шланг в сборе","А","1",""
"36","1140264170","Шланг в сборе","А","1",""
"37","02552005200201021","Стальная труба в сборе","А","1",""
"38","1140206702","Шланг в сборе","А","1",""
"39","1140213052","Шланг в сборе","А","1",""
