"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"10","1040201896","Гайка","А","16","GB/T889.1-2015"
"11","1040102017","Винт","А","8","GB/T70.1-2000"
"12","1040300735","Шайба","А","10","GB/T96.1-2002"
"13","1040300771","Шайба","А","22","GB/T97.1-2002"
"14","1101000163","Пружинная петля","А","2","D-10"
"15","1040300514","Шайба","А","12","GB/T97.1-2002"
"16","1040004672","Болт","А","12","JB/T5783-2000"
"17","1029904911","Пружинящая шайба","А","12","GB93-304"
"18","1040301515","Шайба","А","2","GB/T97.1-2002"
"19","1040103173","Винт","А","2","GB/T70.1-2000"
"20","1040201880","Гайка","А","1","JB/T802-1988"
"21","00773600130201010","Отбойный упор","B","1",""
"22","00775600101801010","Личинка замка","А","1",""
"23","1040004522","Болт","А","1","JB/T5783-2000"
"24","00775600101801020","Пружина","А","1",""
"25","02555400110230000","Вращающаяся дверь","А","1",""
"26","02555400100201011","Упорная планка","А","1",""
"27","1040102372","Винт с цилиндрической головкой 
и внутренней шестигранью","А","6","GB/T70.1-2000"
"28","00771100110240000","Сварная деталь задней 
пластины","B","1",""
"29","00771100110230000","Установка защитного кожуха","D","1",""
"30","1999904986","Коробка для файлов","А","1","ZJ1145029"
"31","02555400130210000","Свариваемые изделия 
платформы","B","1",""
