"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"18","1040301515","Шайба","А","44","GB/T97.1-2002"
"19","1040200503","Гайка","А","4","GB/T889.1-2000"
"20","1040002434","Болт","А","4","JB/T5783-2016"
"21","00771402850001210","Кольцо крепления проводов","А","2",""
"22","1040302489","Шайба","B","6","GB/T97.1-2002"
"23","1040004653","Болт","А","8","JB/T5783-2000"
"24","00771402840001260","Опора","А","2",""
"25","1040302490","Шайба","B","8","GB/T97.1-2002"
"26","02551702800001020","Крышка","А","2",""
"27","00771402820001030","Штифт","C","2",""
"28","02551702800600000","Левая поворотная цапфа","C","1",""
"29","00771402850001050","Штифт","А","2",""
"30","1040004565","Болт","А","4","JB/T5783-2016"
"31","00771600301001250","Стопорный штифт","C","6",""
"32","00771402850001230","Подшипник, не требующий 
смазки","B","2",""
"33","1040004517","Болт","А","54","JB/T5783-2000"
"34","02551702800001040","Упорная планка подшипника","А","4",""
"35","00771402810001020","Самосмазывающийся 
подшипник","C","4",""
"36","00771402810001010","Прокладка","А","4",""
"37","00771402800001230","Самосмазывающийся 
подшипник","А","4",""
"38","00771402851400000","Гидроцилиндр рулевого 
управления","А","2",""
"39","00771402800001020","Штифт","C","2",""
"40","02551702801000000","Рулевой привод","B","1",""
"41","1040002433","Болт","А","2","JB/T5783-2000"
"42","00771402850001170","Поворотный штифт","B","2",""
"43","02551702800800000","Правая поворотная цапфа","C","1",""
