"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"12","1029805597","Кнопка","А","1","PBM-12M11-DS-N- 
NNB1S"
"13","1029802085","Нейлоновая заглушка","А","10","DPK-M12B"
"14","1029804205","Затяжная гайка","А","10","GMK-M12B"
"15","1990900004","Табличка аварийной остановки","А","1","ZB2BY9330"
"16","1040300514","Шайба","А","8","GB/T97.1-2002"
"17","1040001122","Болт","А","8","JB/T5783-2000"
"18","1020520995","Потенциометр","А","1","DD40HS1ZLG"
"19","1020520994","Рычаг","А","1","D10BHD2AK4ZOZLG"
"20","1020521445","Качающийся переключатель","А","5","TN8A_107EY_N_C/H01"
"21","1020520993","Рычаг","А","1","D10AHS2AK2ZOZLG"
"22","1020502039","Кнопка аварийной остановки","А","1","ZB2-BT4C"
"23","1020509007","Контакт кнопки","B","1","ZB2-BZ102C"
"24","1029907663","Водонепроницаемый чехол","А","1","D-15-PBM-12M"
