"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"3","1040004520","Болт","А","34","JB/T5783-2000"
"4","1040302480","Шайба","B","84","GB/T96.1-2002"
"5","1040301510","Шайба","А","34","JB/T93-1987"
"6","1040201089","Гайка","А","34","JB/T6170-2000"
"8","1040002281","Болт","А","13","JB/T5783-2000"
"20","1040300771","Шайба","А","14","GB/T97.1-2002"
"26","02552001100001020","Правый капот","B","1",""
"27","02552001100001060","Правая уплотняющая пластина I","А","1",""
"28","02552001100001080","Правая уплотняющая пластина II","А","1",""
"29","02552001100001090","Правая уплотнительная 
пластина III","А","1",""
"30","1100700163","Дверная ручка","А","2",""
"31","1040101643","Винт","А","6","GB/T70.1-2000"
"34","1109800044","Языковой замок","А","2",""
