"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"43","02555400100401020","Болт","А","8","QC/T340-1999"
"44","1040301511","Шайба","А","3","GB/T97.1-2002"
"45","02564400100401020","Вал","B","4",""
"46","00773400130401040","Прокладка I","А","8",""
"47","1080000005","Масленка","А","8","JB/T7940.1-1995"
"48","1040004646","Болт","А","4","JB/T5783-2000"
"49","00773400100401030","Регулировочная шайба","А","2",""
"50","1040301515","Шайба","А","7","GB/T97.1-2002"
"51","1040200503","Гайка","А","4","GB/T889.1-2000"
"52","1040302490","Шайба","B","4","GB/T97.1-2002"
"53","1040103112","Винт","А","7","GB/T70.1-2000"
"54","02555400100420000","Сварная деталь кронштейна","А","1",""
"55","1054600077","Игольчатый подшипник","А","8","JB/T5801-2006"
"56","02564400100401031","Пластина хомута","А","4",""
"57","02564400100401010","Шатун","B","2",""
"58","1040001703","Болт","B","2","JB/T5782-2000"
"59","00773400100401040","Вкладыш","А","1",""
"60","00773400130401060","Прокладка III","C","2",""
"61","1040006458","Усиленный бол с полукруглой 
головкой квадратным диаметром","А","1","JB/T794-1993"
"62","02555400100410000","Переходный держатель","А","1",""
"63","1040201381","Гайка","А","1","JB/T6170-2000"
"64","00771400100401081","Болт собственного производства","B","1",""
"65","1040201111","Гайка","А","1","JB/T889-1986"
