"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"24","1040302492","Шайба","B","5","GB/T97.1-2002"
"36","1040004565","Болт","А","11","JB/T5783-2016"
"64","1040200504","Гайка","А","6","GB/T889.1-2000"
"65","1040301031","Шайба","B","2","GB/T96.1-2002"
"66","1040002436","Болт","А","2","JB/T5783-2000"
"67","02551700821000001","Опора масляного бака","А","1",""
"68","02552000811000001","Сварная деталь тягового 
стержня","А","1",""
"69","1040200161","Гайка","А","4","JB/T889-1986"
"70","1040002447","Болт","А","2","JB/T5783-2000"
"71","1040005847","Болт","А","2","JB/T5783-2000"
"72","02552000810001061","Тяговой стержень масляного 
бака","А","1",""
"76","00771400800001150","Прокладка","А","4",""
"77","02551500800001010","Каучуковая прокладка","А","1",""
"78","02551500820001090","Опора шкафа электрического 
управления I","А","1",""
