"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"45","1020600074","Предохранитель","B","6","0287010"
"46","1022290054","Закорачивающая плита","А","13","2006--402"
"47","1029906870","Клемма предохранителя","А","17","2006-1681.1000-
449"
"48","1029905163","Торцевая пластина","А","1","2006--1692"
"49","1020600110","Предохранитель","B","3","287030"
"50","1029901278","Самозажимающийся крепежный 
элемент","B","2","UKJ-2G4(GY)"
"51","1029908987","Перегородка","B","3","UJ6-4/1×2G(OG)"
"52","1029908969","Соединительный зажим","B","11","UJ6-4/1×2"
"53","1020600107","Предохранитель","B","3","0287010"
"54","1020600109","Предохранитель","B","2","0287025"
"55","1022270003","Диодный соединительный зажим","А","3","281-665/281-400"
"56","1029908972","Соединительный зажим","B","3","UJ6-4/1×2JD"
"57","1020602747","Предохранитель","B","2","287020"
"58","1022290051","Торцевая пластина","B","1","280--315"
"59","1020600116","Предохранитель","B","1","0287003"
"60","1020304559","Реле","B","1","788--303"
